         1972849 function calls (1941383 primitive calls) in 2.454 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
  5654/42    0.004    0.000    2.429    0.058 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     2894    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:103(release)
     1678    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
     1678    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1678    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:151(__exit__)
     2894    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1667    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:176(cb)
     1216    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   1829/4    0.001    0.000    2.453    0.613 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    12987    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
     1292    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
     1292    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
     1292    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:318(__exit__)
     5164    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     1169    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1858    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     2456    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:403(cached)
     2449    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(parent)
     1292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
